20014;Perfumeria;20079;Cuidado Personal;20397;Desodorantes Corporales
20014;Perfumeria;20074;Cosmetica;20379;Maquillaje
20014;Perfumeria;20075;Cuidado De La Piel;20382;Proteccion Solar
20011;Kiosco;20059;Golosinas;20307;Masticables
20006;Congelados;20036;Helados;20195;Barritas
20006;Congelados;20036;Helados;20200;Potes
20007;Electro;20037;Celulares;20201;Celulares
20007;Electro;20038;Climatizacion;20203;Calefacción
20007;Electro;20038;Climatizacion;20204;Ventilacion
20008;Ferreteria Y Automotor;20047;Ferreteria;20257;Adhesivos
20007;Electro;20041;Informatica;20219;Cargadores
20007;Electro;20041;Informatica;20221;Mouse
20007;Electro;20042;Pequeños Electrodomesticos;20226;Aspiradoras
20008;Ferreteria Y Automotor;20048;Iluminación;20262;Artefactos De Iluminacion
20007;Electro;20042;Pequeños Electrodomesticos;20231;Freidoras
20007;Electro;20042;Pequeños Electrodomesticos;20238;Multiprocesadoras
20007;Electro;20042;Pequeños Electrodomesticos;20244;Sartenes Electricas
20014;Perfumeria;20080;Farmacia;20410;Toallas Antibacteriales
20001;Aire Libre;20004;Parrilla;20026;Utensilios De Parrilla
20002;Almacen;20007;Aceites Y Condimentos;20033;Aceites
20002;Almacen;20008;Aderezos Y Salsas;20038;Aderezos
20003;Bazar Y Hogar;20020;Cocina;20095;Bandejas Y Copetineros
20003;Bazar Y Hogar;20020;Cocina;20098;Frascos, Tarros Y Latas
20003;Bazar Y Hogar;20020;Cocina;20103;Ollas, Cacerolas Y Sartenes
20003;Bazar Y Hogar;20020;Cocina;20106;Pavas,Jarros Y Cafeteras
20003;Bazar Y Hogar;20019;Baño;20090;Alfombras De Baño
20003;Bazar Y Hogar;20024;Muebles;20128;Muebles De Interior
20003;Bazar Y Hogar;20023;Indumentaria;20124;Medias Y Ropa Interior
20002;Almacen;20016;Pastas;20077;Pastas Secas
20002;Almacen;20017;Postres Y Reposteria;20080;Reposteria
20002;Almacen;20018;Snacks;20085;Palitos
20002;Almacen;20011;Desayuno Y Merienda;20057;Yerbas
20002;Almacen;20011;Desayuno Y Merienda;20051;Cacaos
20003;Bazar Y Hogar;20026;Valijas;20136;Tela
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20140;Accesorios Bebes
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20145;Cremas Y Aceites De Bebe
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20146;Hisopos
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20150;Talcos Y Fécula
20004;Bebes Y Niños;20031;Librería;20163;Adhesivos Libreria
20003;Bazar Y Hogar;20025;Organización Del Hogar;20130;Carros De Compras
20001;Aire Libre;20003;Jardineria;20021;Maquinarias De Jardin
20001;Aire Libre;20002;Deportes Y Fitnes;20014;Eliptico
20001;Aire Libre;20002;Deportes Y Fitnes;20015;Infladores
20005;Bebidas;20033;Bebidas Con Alcohol;20172;Bebidas Blancas
20006;Congelados;20035;Congelados;20188;Hamburguesas Y Medallones
20014;Perfumeria;20077;Cuidado Del Cabello;20388;Geles Y Fijadores
20014;Perfumeria;20079;Cuidado Personal;20399;Jabones Y Geles De Ducha
20014;Perfumeria;20079;Cuidado Personal;20395;Barbijos Y Mascaras
20012;Limpieza;20063;Desodorantes De Ambiente;20334;Desinfectantes
20014;Perfumeria;20075;Cuidado De La Piel;20380;Cremas Corporales
20012;Limpieza;20069;Limpieza De Pisos Y Superficies;20360;Superficies Delicadas
20012;Limpieza;20066;Lavandinas;20347;Lavandinas En Gel
20013;Mascotas;20071;Accesorios;20370;Paseo Y Recreacion
20013;Mascotas;20071;Accesorios;20371;Piedras Sanitarias
20012;Limpieza;20068;Limpieza De Cocina;20351;Destapacañerias
20014;Perfumeria;20076;Cuidado Del Adulto;20385;Toallas Incontinencia
20012;Limpieza;20061;Cuidado De La Ropa;20320;Perfumantes
20012;Limpieza;20068;Limpieza De Cocina;20353;Limpiadores De Cocina
20012;Limpieza;20062;Cuidado Del Calzado;20323;Accesorios Calzado
20012;Limpieza;20062;Cuidado Del Calzado;20325;Cremas Para Calzado
20012;Limpieza;20062;Cuidado Del Calzado;20326;Lavazapatillas
20007;Electro;20044;Tv, Audio Y Video;20249;Soportes De Tv
20009;Fiestas;20049;Navidad;20267;Cajas Navideñas
20010;Frescos;20052;Fiambreria;20285;Quesos Semiduros
20010;Frescos;20054;Lacteos;20288;Cremas Lacteas
20010;Frescos;20054;Lacteos;20290;Levaduras
20010;Frescos;20054;Lacteos;20292;Postres
20011;Kiosco;20057;Chocolate Y Alfajores;20299;Alfajores
20008;Ferreteria Y Automotor;20045;Automotor;20252;Aditivos Y Lubricantes
20006;Congelados;20036;Helados;20199;Postres Helados
20007;Electro;20042;Pequeños Electrodomesticos;20227;Batidoras
20007;Electro;20042;Pequeños Electrodomesticos;20233;Horno De Pan
20007;Electro;20042;Pequeños Electrodomesticos;20241;Planchas
20007;Electro;20042;Pequeños Electrodomesticos;20242;Ralladores Electricos
20014;Perfumeria;20080;Farmacia;20408;Bienestar Sexual
20001;Aire Libre;20005;Piletas;20028;Mantenimiento
20001;Aire Libre;20006;Rodados;20031;Bicicletas
20002;Almacen;20007;Aceites Y Condimentos;20034;Especias
20002;Almacen;20010;Caldos,Sopas Y Puré;20043;Caldos
20002;Almacen;20010;Caldos,Sopas Y Puré;20045;Saborizantes
20002;Almacen;20010;Caldos,Sopas Y Puré;20047;Sopas
20003;Bazar Y Hogar;20019;Baño;20093;Toallas Y Toallones
20003;Bazar Y Hogar;20024;Muebles;20127;Muebles De Exterior
20003;Bazar Y Hogar;20022;Dormitorio;20117;Alfombras Y Felpudos
20003;Bazar Y Hogar;20023;Indumentaria;20126;Traje De Baño
20002;Almacen;20012;Enlatados  Y Conservas;20060;Conservas De Frutas
20002;Almacen;20014;Pan Rallado Y Rebozador;20068;Pan Rallado
20002;Almacen;20018;Snacks;20084;Nachos
20002;Almacen;20012;Enlatados  Y Conservas;20058;Aceitunas
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20142;Apositos Y Protectores Mamarios
20004;Bebes Y Niños;20030;Jugueteria;20153;Juegos De Mesa
20004;Bebes Y Niños;20030;Jugueteria;20157;Juguetes
20001;Aire Libre;20003;Jardineria;20019;Herramientas De Jardin
20001;Aire Libre;20002;Deportes Y Fitnes;20016;Mancuernas Fitnes
20001;Aire Libre;20002;Deportes Y Fitnes;20009;Barra Fitnes
20001;Aire Libre;20002;Deportes Y Fitnes;20012;Colchoneta Fitnes
20004;Bebes Y Niños;20032;Pañales;20169;Pañales De Bebe
20005;Bebidas;20034;Bebidas Sin Alcohol;20181;Energizantes
20005;Bebidas;20034;Bebidas Sin Alcohol;20182;Gaseosas
20005;Bebidas;20034;Bebidas Sin Alcohol;20185;Sidras Sin Alcohol
20006;Congelados;20035;Congelados;20187;Frutas Congeladas
20012;Limpieza;20069;Limpieza De Pisos Y Superficies;20358;Limpiadores De Piso
20014;Perfumeria;20077;Cuidado Del Cabello;20386;Acondicionador
20014;Perfumeria;20079;Cuidado Personal;20396;Depilacion
20012;Limpieza;20064;Fosforos Y Velas;20338;Palillos
20012;Limpieza;20060;Accesorios De Limpieza;20316;Secadores Y Limpiavidrios
20012;Limpieza;20065;Insecticidas;20342;Hormigas
20012;Limpieza;20070;Papeles;20363;Papel Aluminio
20012;Limpieza;20070;Papeles;20366;Papel Manteca
20012;Limpieza;20061;Cuidado De La Ropa;20321;Quitamanchas
20014;Perfumeria;20073;Colonias Y Perfumes;20374;Bodysplash
20012;Limpieza;20062;Cuidado Del Calzado;20329;Revividores
20012;Limpieza;20062;Cuidado Del Calzado;20330;Tintas
20010;Frescos;20052;Fiambreria;20281;Quesos Blandos
20010;Frescos;20052;Fiambreria;20286;Salchichas
20011;Kiosco;20059;Golosinas;20302;Caramelos
20008;Ferreteria Y Automotor;20045;Automotor;20253;Cosmetica Automotor
20006;Congelados;20036;Helados;20196;Bombones Helado
20010;Frescos;20050;Carniceria;20271;Carnes De Cerdo
20007;Electro;20039;Cuidado Personal Y Salud;20205;Afeitadoras
20007;Electro;20039;Cuidado Personal Y Salud;20208;Humidificadores
20007;Electro;20039;Cuidado Personal Y Salud;20209;Planchitas Y Rizadores
20007;Electro;20040;Heladeras, Cocinas, Lavarropas Y Lavavajillas;20213;Cocina
20007;Electro;20040;Heladeras, Cocinas, Lavarropas Y Lavavajillas;20216;Lavarropas
20007;Electro;20042;Pequeños Electrodomesticos;20228;Cafeteras
20007;Electro;20042;Pequeños Electrodomesticos;20230;Exprimidores
20009;Fiestas;20049;Navidad;20264;Adornos De Navidad
20007;Electro;20042;Pequeños Electrodomesticos;20236;Microondas
20007;Electro;20042;Pequeños Electrodomesticos;20245;Tostadoras
20014;Perfumeria;20080;Farmacia;20409;Ortopedia
20001;Aire Libre;20003;Jardineria;20022;Riego
20002;Almacen;20010;Caldos,Sopas Y Puré;20044;Pures
20003;Bazar Y Hogar;20020;Cocina;20108;Termos Y Mates
20003;Bazar Y Hogar;20019;Baño;20092;Cortinas De Baño
20003;Bazar Y Hogar;20022;Dormitorio;20120;Cubrecamas Y Acolchados
20003;Bazar Y Hogar;20022;Dormitorio;20121;Frazadas Y Mantas
20003;Bazar Y Hogar;20023;Indumentaria;20125;Remeras
20002;Almacen;20012;Enlatados  Y Conservas;20064;Tomates Y Salsas
20002;Almacen;20013;Harinas;20066;Harinas
20002;Almacen;20015;Panificados;20071;Pan
20004;Bebes Y Niños;20031;Librería;20167;Mochilas Y Cartucheras
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20143;Chupetes Y Mamaderas
20004;Bebes Y Niños;20029;Cuidado Del Bebe Y La Mamá;20147;Jabones
20004;Bebes Y Niños;20030;Jugueteria;20151;Autos Y Vehiculos
20004;Bebes Y Niños;20030;Jugueteria;20156;Jueguetes
20004;Bebes Y Niños;20030;Jugueteria;20161;Primera Infancia
20003;Bazar Y Hogar;20025;Organización Del Hogar;20132;Cestos Y Canastos Para Ropa
20001;Aire Libre;20002;Deportes Y Fitnes;20010;Botellas Deportivas
20005;Bebidas;20033;Bebidas Con Alcohol;20176;Sidras
20006;Congelados;20035;Congelados;20189;Panificados Congelados
20012;Limpieza;20069;Limpieza De Pisos Y Superficies;20356;Limpia Vidrios Y Multiusos
20014;Perfumeria;20074;Cosmetica;20377;Accesorios De Belleza
20014;Perfumeria;20077;Cuidado Del Cabello;20390;Tratamientos
20014;Perfumeria;20079;Cuidado Personal;20400;Maquinas De Afeitar
20012;Limpieza;20065;Insecticidas;20343;Moscas Y Mosquitos
20012;Limpieza;20065;Insecticidas;20345;Pulgas
20014;Perfumeria;20076;Cuidado Del Adulto;20383;Pañales Para Adulto
20012;Limpieza;20062;Cuidado Del Calzado;20324;Autobrillos
20012;Limpieza;20069;Limpieza De Pisos Y Superficies;20355;Limpia Metales
20007;Electro;20044;Tv, Audio Y Video;20250;Televisores
20010;Frescos;20052;Fiambreria;20280;Fiambres
20010;Frescos;20052;Fiambreria;20283;Quesos Especiales
20010;Frescos;20052;Fiambreria;20284;Quesos Rallados
20010;Frescos;20054;Lacteos;20295;Yogures
20010;Frescos;20055;Pastas Frescas Y Tapas;20296;Pastas Frescas
20011;Kiosco;20057;Chocolate Y Alfajores;20300;Chocolates
20011;Kiosco;20056;Carnaval Y Cotillon;20298;Carnaval Y Cotillon
20012;Limpieza;20060;Accesorios De Limpieza;20310;Baldes Y Mopas
20006;Congelados;20035;Congelados;20193;Vegetales Congelados
20006;Congelados;20036;Helados;20197;Conos
20008;Ferreteria Y Automotor;20047;Ferreteria;20259;Herramientas
20010;Frescos;20050;Carniceria;20272;Carnes Especiales
20007;Electro;20041;Informatica;20220;Computadoras
20010;Frescos;20050;Carniceria;20277;Pollos
20007;Electro;20042;Pequeños Electrodomesticos;20232;Hornitos Electricos
20007;Electro;20042;Pequeños Electrodomesticos;20235;Licuadoras
20009;Fiestas;20049;Navidad;20265;Arboles De Navidad
20009;Fiestas;20049;Navidad;20266;Bolsas De Navidad
20007;Electro;20042;Pequeños Electrodomesticos;20246;Vaporieras
20007;Electro;20043;Termotanques Y Calefones;20247;Termotanque
20014;Perfumeria;20079;Cuidado Personal;20402;Talcos Y Desodorantes Pedicos
20014;Perfumeria;20080;Farmacia;20406;Apositos Adhesivos
20014;Perfumeria;20080;Farmacia;20407;Azufre
